pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,5,6,3,PenaltySolver,18.5546875,28.80859375,42.304904466883436,125,7.045680776704103,18.84244642453268,141312
0,1,5,6,3,PenaltySolver,2.1484375,17.578125,98.09456363859239,106,7.045516395475715,16.511388381943107,119808
0,2,5,6,3,PenaltySolver,3.3203125,18.359375,44.342494387969644,94,6.838541466742754,15.520718730520457,106496
0,3,5,6,3,PenaltySolver,0.1953125,14.35546875,36.587185309534895,122,8.21792154526338,18.18599421577528,138240
0,4,5,6,3,PenaltySolver,9.765625,21.97265625,35.81215120209846,123,8.699379944708198,18.023725404869765,139264
0,5,5,6,3,PenaltySolver,0.390625,12.20703125,82.6720143908257,120,7.890866761095822,18.3071650438942,136192
0,6,5,6,3,PenaltySolver,0.9765625,5.56640625,42.3745659486808,90,6.710775668732822,14.732700616586953,102400
0,7,5,6,3,PenaltySolver,20.21484375,29.19921875,51.13053379735496,129,8.766583206132054,18.131484540645033,145408
0,8,5,6,3,PenaltySolver,0.1953125,15.91796875,39.17124308357574,117,8.378942545037717,17.51209367485717,132096
0,9,5,6,3,PenaltySolver,0.68359375,27.1484375,49.068359334109694,111,7.567750356160104,18.10909302951768,125952
0,0,5,6,3,CyclicSolver,0.1953125,69.43359375,16.04861109327932,153,5.299808687064797,23.268612660933286,173056
0,1,5,6,3,CyclicSolver,22.94921875,38.76953125,52.74365225584391,125,5.280276863370091,21.893500267527997,141312
0,2,5,6,3,CyclicSolver,8.203125,23.4375,27.033970404797163,105,3.964842443354428,20.025309218559414,118784
0,3,5,6,3,CyclicSolver,3.7109375,12.6953125,23.424804674486218,112,5.098590871319175,20.518266095779836,126976
0,4,5,6,3,CyclicSolver,0,56.25,15.673758359340171,129,4.712451948784292,22.62003829702735,145408
0,5,5,6,3,CyclicSolver,0.68359375,47.8515625,38.41950329332928,121,4.913352678529918,22.099040215369314,137216
0,6,5,6,3,CyclicSolver,0.09765625,55.859375,13.849121086056043,116,4.9847969468683,21.627313152421266,131072
0,7,5,6,3,CyclicSolver,0.390625,44.140625,34.9431423222854,109,4.473786254413426,20.822130034677684,122880
0,8,5,6,3,CyclicSolver,10.7421875,29.00390625,22.593405317592115,111,5.053891285322607,20.96629572380334,125952
0,9,5,6,3,CyclicSolver,24.8046875,67.87109375,16.012939439780883,136,5.536945505533367,22.409694130532444,153600
0,0,5,6,3,HeaSolver,9.5703125,12.40234375,69.8658853390379,201,15.068042419850826,30.46334290644154,226304
0,1,5,6,3,HeaSolver,8.69140625,13.18359375,106.78580711369032,201,14.006378035992384,31.6301611806266,226304
0,2,5,6,3,HeaSolver,8.59375,13.0859375,45.51060264606385,201,14.599028067663312,30.633580334018916,226304
0,3,5,6,3,HeaSolver,0,12.5,35.717610657240215,201,14.270368699915707,31.47748809400946,226304
0,4,5,6,3,HeaSolver,0.5859375,13.0859375,45.66978233345015,201,14.510853998363018,31.95248121349141,226304
0,5,5,6,3,HeaSolver,0.390625,12.890625,91.30147866421217,201,15.20639690104872,31.354874170850962,226304
0,6,5,6,3,HeaSolver,8.69140625,12.98828125,35.347547723418025,201,14.657596451696008,30.914999625179917,226304
0,7,5,6,3,HeaSolver,0.1953125,12.40234375,69.52712665885875,201,14.818668069317937,31.310000960715115,226304
0,8,5,6,3,HeaSolver,0.390625,12.890625,37.35690484934888,201,14.87916788784787,31.40325520001352,226304
0,9,5,6,3,HeaSolver,0.390625,12.890625,52.834960893470864,201,14.811201862525195,31.573244414292276,226304
0,0,1,6,3,ChocoSolver,100.0,100.0,0.0,22,0.07530962908640504,0.27451474918052554,25600
0,1,1,6,3,ChocoSolver,100.0,100.0,0.0,22,0.06312608392909169,0.2813181737437844,25600
0,2,1,6,3,ChocoSolver,100.0,100.0,0.0,22,0.06936501432210207,0.28415124770253897,25600
0,3,1,6,3,ChocoSolver,0.29296875,100.0,0.5013563365270243,30,0.06840830482542515,0.3778549851849675,34816
0,4,1,6,3,ChocoSolver,21.19140625,100.0,0.9289202002293426,27,0.07129134656861424,0.32640239177271724,30720
0,5,1,6,3,ChocoSolver,24.70703125,100.0,1.5433872745808754,29,0.07489161100238562,0.3464444228447974,32768
0,6,1,6,3,ChocoSolver,100.0,100.0,0.0,22,0.043448090087622404,0.27387426560744643,25600
0,7,1,6,3,ChocoSolver,0,100.0,0.1111111109876543,21,0.07271132757887244,0.26974746864289045,24576
0,8,1,6,3,ChocoSolver,0,100.0,0.11764705875432525,31,0.11764210555702448,0.38626714749261737,35840
0,9,1,6,3,ChocoSolver,0,100.0,0.4999999995833333,26,0.09282506117597222,0.31479995185509324,29696
1,0,5,15,8,PenaltySolver,0,0,90.935294829537,102,358.5819054185413,1223.772249297239,115712
1,1,5,15,8,PenaltySolver,0,0.1953125,72.87147175068662,104,239.82838019263,1249.8901799786836,117760
1,2,5,15,8,PenaltySolver,0,0.5859375,95.55738462711552,122,280.2272510388866,1369.7774438662454,138240
1,3,5,15,8,PenaltySolver,0,0.1953125,80.70309242101564,94,217.61613881075755,1135.2731551150791,106496
1,4,5,15,8,PenaltySolver,0,1.66015625,83.6978442977045,109,382.1447067963891,1246.601381382905,122880
1,5,5,15,8,PenaltySolver,0.29296875,0.9765625,131.22412100001847,122,318.5644252160564,1344.3842410109937,138240
1,6,5,15,8,PenaltySolver,0,0.5859375,110.69404864812114,104,282.8822491625324,1235.4404362444766,117760
1,7,5,15,8,PenaltySolver,0,0,103.7698892883267,95,378.27552535943687,1162.1109719825909,107520
1,8,5,15,8,PenaltySolver,0,0.09765625,82.71543558099532,99,398.9604245326482,1193.9229923011735,111616
1,9,5,15,8,PenaltySolver,0,0.09765625,98.85829737970403,101,176.09197672409937,306.15705948416144,114688
1,0,5,15,8,CyclicSolver,0,2.5390625,53.361580123915616,100,326.30607236083597,1538.98514169408,113664
1,1,5,15,8,CyclicSolver,0,0.390625,51.533234610392505,102,315.62795783858746,1547.4925989215262,115712
1,2,5,15,8,CyclicSolver,0,4.58984375,52.46716887382516,113,205.0236194152385,1680.225199908018,128000
1,3,5,15,8,CyclicSolver,0,1.171875,55.10839841913053,93,203.29605150222778,1427.8230849877,105472
1,4,5,15,8,CyclicSolver,0,1.7578125,65.98209632972885,99,345.25293821142986,1491.2090682242997,111616
1,5,5,15,8,CyclicSolver,0,1.07421875,122.96895917555788,82,267.3982815342024,1304.9737852578983,93184
1,6,5,15,8,CyclicSolver,0,4.6875,58.0867416937725,123,303.5788754164241,1660.3423116076738,139264
1,7,5,15,8,CyclicSolver,0,1.953125,49.93642576460452,114,332.4987140400335,1615.3024505157955,129024
1,8,5,15,8,CyclicSolver,0.5859375,1.7578125,50.74712948272814,97,198.50103558180854,1479.2346492153592,109568
1,9,5,15,8,CyclicSolver,0,2.63671875,49.777411081973305,106,157.30405484046787,423.8901309524663,119808
1,0,5,15,8,HeaSolver,0,0.29296875,99.7358555625852,201,621.7130471151322,862.4768687728792,226304
1,1,5,15,8,HeaSolver,0,0.29296875,99.77466604644366,201,635.2001669788733,837.3468213002197,226304
1,2,5,15,8,HeaSolver,0,0.29296875,147.30547798044978,201,583.6062638317235,885.788360287901,226304
1,3,5,15,8,HeaSolver,0.09765625,0.29296875,102.95628251776456,201,635.4966230764985,847.0932815345004,226304
1,4,5,15,8,HeaSolver,0,0.29296875,114.69227426307692,201,631.3393367258832,848.9042884293012,226304
1,5,5,15,8,HeaSolver,0,0.29296875,220.805175623532,201,635.0366774243303,845.3220174405724,226304
1,6,5,15,8,HeaSolver,0,0.29296875,182.05641073849623,201,578.6232303706929,874.8911979435943,226304
1,7,5,15,8,HeaSolver,0,0.29296875,103.01376949691208,201,473.72512579569593,875.3164316196926,226304
1,8,5,15,8,HeaSolver,0,0.29296875,93.58818652467025,201,558.4164679073729,861.7438330766745,226304
1,9,5,15,8,HeaSolver,0,0.09765625,108.5309805660238,201,330.56990693323314,96.66831655194983,226304
1,0,1,15,8,ChocoSolver,0,100.0,0.1305443547965986,31,0.4996410240419209,0.8677496109157801,35840
1,1,1,15,8,ChocoSolver,100.0,100.0,0.0,22,0.2864818084053695,0.6171314935199916,25600
1,2,1,15,8,ChocoSolver,100.0,100.0,0.0,22,0.22168615646660328,0.6557843368500471,25600
1,3,1,15,8,ChocoSolver,0,100.0,0.10227864579924045,28,0.465285477694124,0.7672915617004037,31744
1,4,1,15,8,ChocoSolver,0.1953125,100.0,0.3700086804185153,26,0.33897414430975914,0.7423733933828771,29696
1,5,1,15,8,ChocoSolver,100.0,100.0,0.0,22,0.26975229987874627,0.6085549322888255,25600
1,6,1,15,8,ChocoSolver,100.0,100.0,0.0,20,0.25281230080872774,0.5814564391039312,23552
1,7,1,15,8,ChocoSolver,100.0,100.0,0.0,22,0.213638617657125,0.6078436453826725,25600
1,8,1,15,8,ChocoSolver,3.80859375,100.0,0.15477035980158474,27,0.5161744100041687,0.7310899342410266,30720
1,9,1,15,8,ChocoSolver,0,100.0,0.17241379304399523,23,0.2863265834748745,0.6377332885749638,26624
2,0,5,21,12,PenaltySolver,0,0,84.54609372886347,104,417.46684377174824,892.0705730151385,117760
