pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,5,6,3,PenaltySolver,8.984375,15.13671875,27.73966470198347,108,4.3353746281936765,2.1897094128653407,121856
0,1,5,6,3,PenaltySolver,2.34375,6.8359375,38.707682270162394,99,3.863915940746665,2.0535714994184673,111616
0,2,5,6,3,PenaltySolver,4.39453125,17.48046875,26.873938507337417,135,5.318606417160481,2.693781654816121,152576
0,3,5,6,3,PenaltySolver,0.5859375,17.3828125,39.098632786434244,118,4.337423225399107,2.3657807298004627,133120
0,4,5,6,3,PenaltySolver,5.95703125,12.79296875,26.332795504855305,104,3.92469216696918,2.054943040944636,117760
0,5,5,6,3,PenaltySolver,9.66796875,18.26171875,28.278523751238115,113,4.462154011707753,2.3342402055859566,128000
0,6,5,6,3,PenaltySolver,0.09765625,4.4921875,66.02726231476895,112,4.427904263138771,2.211045535746962,126976
0,7,5,6,3,PenaltySolver,0.1953125,6.15234375,42.21032070146825,105,4.180074902251363,2.1560948407277465,118784
0,8,5,6,3,PenaltySolver,0.1953125,13.96484375,28.144484733621674,99,3.60461311833933,2.0016584335826337,111616
0,9,5,6,3,PenaltySolver,4.1015625,24.31640625,24.330585927767764,113,4.824050356633961,2.297595913056284,128000
0,0,5,6,3,CyclicSolver,0.87890625,76.3671875,5.56274413830719,147,2.7803018083795905,3.3273994070477784,165888
0,1,5,6,3,CyclicSolver,0.09765625,66.796875,9.505533848885815,128,2.330615932587534,2.902621447108686,144384
0,2,5,6,3,CyclicSolver,34.08203125,74.609375,5.590650473112761,137,2.7348219132982194,3.032459393609315,154624
0,3,5,6,3,CyclicSolver,0.48828125,72.16796875,9.711783847692143,118,2.287475978489965,2.546865285374224,133120
0,4,5,6,3,CyclicSolver,31.15234375,48.828125,12.112432059951116,122,2.50798733625561,2.7732259877957404,138240
0,5,5,6,3,CyclicSolver,0.1953125,61.03515625,8.171223954928656,123,2.533027501311153,2.8272708295844495,139264
0,6,5,6,3,CyclicSolver,8.88671875,43.65234375,28.53841143455132,94,2.1224234784021974,2.090190127491951,106496
0,7,5,6,3,CyclicSolver,10.25390625,57.51953125,12.310187082336743,119,2.4730139952152967,2.736772076692432,134144
0,8,5,6,3,CyclicSolver,0.87890625,49.609375,15.929966510271443,121,2.696541450917721,2.834726836066693,137216
0,9,5,6,3,CyclicSolver,9.375,59.765625,9.106445308857422,122,2.5773837910965085,2.8581314287148416,138240
0,0,5,6,3,HeaSolver,4.4921875,7.91015625,27.500284819270714,201,7.7348127430304885,3.1378205590881407,226304
0,1,5,6,3,HeaSolver,3.125,19.82421875,33.38378904395345,201,7.870396802201867,3.0836023497395217,226304
0,2,5,6,3,HeaSolver,2.24609375,20.703125,25.40467899710666,201,7.81658153468743,3.1303832111880183,226304
0,3,5,6,3,HeaSolver,4.1015625,21.38671875,39.09082028643945,201,7.8058742778375745,3.1826029955409467,226304
0,4,5,6,3,HeaSolver,7.51953125,20.80078125,26.331097135290825,201,8.051909232046455,3.070844355970621,226304
0,5,5,6,3,HeaSolver,1.85546875,19.82421875,24.57849120069646,201,7.829606158193201,3.230599013157189,226304
0,6,5,6,3,HeaSolver,5.56640625,8.59375,56.84643549950297,201,7.868848256766796,3.031696507241577,226304
0,7,5,6,3,HeaSolver,3.02734375,20.80078125,31.814761496413283,201,7.990312477108091,3.049461069982499,226304
0,8,5,6,3,HeaSolver,3.02734375,21.38671875,28.782738081532028,201,7.689783648122102,3.108075964730233,226304
0,9,5,6,3,HeaSolver,6.54296875,9.9609375,26.870234364251907,201,7.504267300013453,2.992294681724161,226304
0,0,1,6,3,ChocoSolver,100.0,100.0,0.0,24,0.11626444244757295,0.4566993205808103,27648
0,1,1,6,3,ChocoSolver,24.21875,100.0,0.3619791664655671,34,0.18979686358943582,0.66868766117841,38912
0,2,1,6,3,ChocoSolver,100.0,100.0,0.0,23,0.11868723621591926,0.382269739639014,26624
0,3,1,6,3,ChocoSolver,100.0,100.0,0.0,27,0.175219704862684,0.5138981752097607,30720
0,4,1,6,3,ChocoSolver,100.0,100.0,0.0,23,0.12711483193561435,0.3599392091855407,26624
0,5,1,6,3,ChocoSolver,0,100.0,0.1666666665972222,29,0.10482384311035275,0.44601485319435596,32768
0,6,1,6,3,ChocoSolver,99.90234375,100.0,0.0015462239570448132,29,0.1497546792961657,0.5102555258199573,32768
0,7,1,6,3,ChocoSolver,23.2421875,100.0,0.2332442432982925,33,0.13824538048356771,0.5053311050869524,37888
0,8,1,6,3,ChocoSolver,1.953125,100.0,0.09933035709555697,27,0.16455824580043554,0.4905259720981121,30720
